brand_name,article_name,gender,fitting_type,Label_Size,Standard_Size,Waist,Inseam_length,Leg_opening,unit
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
US Polo Association,Trouser,Male,Slim,28,28,29.5,33,,inches
US Polo Association,Trouser,Male,Slim,30,30,31.5,33,,inches
US Polo Association,Trouser,Male,Slim,32,32,33.5,33,,inches
US Polo Association,Trouser,Male,Slim,34,34,35.5,33,,inches
US Polo Association,Trouser,Male,Slim,36,36,37.5,33,,inches
US Polo Association,Trouser,Male,Slim,38,38,39.5,33,,inches
US Polo Association,Trouser,Male,Slim,40,40,41.5,33,,inches
US Polo Association,Trouser,Male,Slim,42,42,43.5,33,,inches
Novarc,Trouser,Male,Slim,28,28,29-30,34,9.5,inches
Novarc,Trouser,Male,Slim,32,32,33-34,34,10,inches
Novarc,Trouser,Male,Slim,36,36,37-38,34,10.5,inches
Novarc,Trouser,Male,Slim,40,40,41-42,34,11,inches
Novarc,Trouser,Male,Slim,30,30,31-32,33.50,10.25,inches
Novarc,Trouser,Male,Slim,34,34,35-36,33.50,10.75,inches
Ezee Sleeves,Trouser,Male,Regular,S,Small,28-30,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,M,Medium,32,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,L,Large,34-36,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,XL,X-Large,38-40,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,2XL,2X-Large,42-44,33,45,inches
Ezee Sleeves,Trouser,Male,Regular,3XL,3X-Large,46-48,33,45,inches
