brand_name,article_name,gender,fitting_type,label_size,standard_size,chest_size,shoulder_width,front_length,waist,neck,sleeve_length,unit
Louis Philippe Sport,shirt,Male,Slim Fit,38,38,42,18,30,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,42,42,48,20,31,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,38,38,40,17,30,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,42,42,47,20,31,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,38,38,41,18,28,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,42,42,47,19,29,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,38,38,42,18,30,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,42,42,48,20,31,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,38,38,40,17,30,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,42,42,47,20,31,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,38,38,41,18,28,,,,inches
Louis Philippe Sport,shirt,Male,Slim Fit,42,42,47,19,29,,,,inches
US Polo Association,shirt,Male,Regular Fit,S,Small,40,17,28,,,,inches
US Polo Association,shirt,Male,Regular Fit,M,Medium,42,18,29,,,,inches
US Polo Association,shirt,Male,Regular Fit,L,Large,45,19,30,,,,inches
US Polo Association,shirt,Male,Regular Fit,XL,X-Large,47,20,31,,,,inches
US Polo Association,shirt,Male,Regular Fit,XXL,2X-Large,51,21,32,,,,inches
US Polo Association,shirt,Male,Regular Fit,3XL,3X-Large,53,22,32,,,,inches
Tryme Fashion,shirt,Male,Regular Fit,S,S,39,18,,38,,24.5,inches
Tryme Fashion,shirt,Male,Regular Fit,M,M,41,19,,40,,25,inches
Tryme Fashion,shirt,Male,Regular Fit,L,L,43,20,,42,,25.5,inches
Tryme Fashion,shirt,Male,Regular Fit,XL,XL,45,21,,44,,26,inches
LookMark,shirt,Male,Regular Fit,S,Small,38,,,38,,,inches
LookMark,shirt,Male,Regular Fit,M,Medium,40,,,40,,,inches
LookMark,shirt,Male,Regular Fit,L,Large,42,,,42,,,inches
LookMark,shirt,Male,Regular Fit,XL,X-Large,44,,,44,,,inches
LookMark,shirt,Male,Regular Fit,XXL,2X-Large,46,,,46,,,inches
LookMark,shirt,Male,Regular Fit,XXXL,3X-Large,48,,,48,,,inches
LookMark,shirt,Male,Regular Fit,XXXXL,4X-Large,50,,,50,,,inches
Diverse,shirt,Male,Slim Fit,S,Small,39.5,17,28.3,,,,inches
Diverse,shirt,Male,Slim Fit,L,Large,45.0,19,30.8,,,,inches
Diverse,shirt,Male,Slim Fit,XXL,XX-Large,50.5,21,31.8,,,,inches
Diverse,shirt,Male,Slim Fit,M,Medium,41.5,18,29.0,,,,inches
Diverse,shirt,Male,Slim Fit,XL,X-Large,47.5,19,31.0,,,,inches
Amazon Brand - Inkast Denim Co.,shirt,Male,Slim Fit,S,S,39.75,17,28.75,,,,inches
Amazon Brand - Inkast Denim Co.,shirt,Male,Slim Fit,M,M,42,18,29.5,,,,inches
Amazon Brand - Inkast Denim Co.,shirt,Male,Slim Fit,L,L,45.25,19,30.25,,,,inches
Amazon Brand - Inkast Denim Co.,shirt,Male,Slim Fit,XL,XL,47.5,20,31.5,,,,inches
Amazon Brand - Inkast Denim Co.,shirt,Male,Slim Fit,2XL,2XL,50.75,21,32.25,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,XS,XS,17.5,,,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,S,S,18.5,,,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,M,M,19.5,,,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,L,L,20.5,,,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,XL,XL,21.5,,,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,XXL,XXL,22.5,,,,,,inches
EYEBOGLER,shirt,Male,Regular Fit,XXXL,XXXL,23.5,,,,,,inches
Dennis Lingo,shirt,Male,Slim Fit,S,38,39.00,17.50,27.50,,,,inches
Dennis Lingo,shirt,Male,Slim Fit,M,40,41.00,18.00,28.00,,,,inches
Dennis Lingo,shirt,Male,Slim Fit,L,42,43.00,18.50,29.00,,,,inches
Dennis Lingo,shirt,Male,Slim Fit,XL,44,45.00,19.00,30.00,,,,inches
Dennis Lingo,shirt,Male,Slim Fit,XXL,46,47.00,19.50,30.75,,,,inches
Allen Solly,shirt,Male,Slim Fit,XS,38,40.16,16.73,29.53,,,,inches
Allen Solly,shirt,Male,Slim Fit,S,39,41.73,17.32,29.92,,,,inches
Allen Solly,shirt,Male,Slim Fit,M,40,43.31,18.31,30.31,,,,inches
Allen Solly,shirt,Male,Slim Fit,L,42,45.87,19.29,30.31,,,,inches
Allen Solly,shirt,Male,Slim Fit,XL,44,48.43,20.28,30.71,,,,inches
Allen Solly,shirt,Male,Slim Fit,XXL,46,50.98,21.26,30.71,,,,inches
Allen Solly,shirt,Male,Slim Fit,XXXL,48,50.98,22.05,30.31,,,,inches
Allen Solly,shirt,Male,Slim Fit,XXXXL,50,50.98,23.05,30.31,,,,inches
Afflatus,shirt,Male,Regular Fit,S,Small,38,,,38,,,inches
Afflatus,shirt,Male,Regular Fit,M,Medium,40,,,40,,,inches
Afflatus,shirt,Male,Regular Fit,L,Large,42,,,42,,,inches
Afflatus,shirt,Male,Regular Fit,XL,X-Large,44,,,44,,,inches
Afflatus,shirt,Male,Regular Fit,XXL,2X-Large,46,,,46,,,inches
Afflatus,shirt,Male,Regular Fit,XXXL,3X-Large,48,,,48,,,inches
Afflatus,shirt,Male,Regular Fit,XXXXL,4X-Large,50,,,50,,,inches
GRITSTONES,shirt,Male,Regular Fit,S,S,18.5,,,36,,7,inches
GRITSTONES,shirt,Male,Regular Fit,M,M,20,,,38,,7.4,inches
